会议名称,简称,CCF等级,CORE等级,CCF领域,数据来源,匹配依据,CORE名称别名
European Conference on Genetic Programming,EUROGP,,B,,CORE2026,仅CORE收录,
European Conference on Information Retrieval,ECIR,C,A,数据库/数据挖掘/内容检索,CCF2026|CORE2026,标题精确匹配,
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,,A,,CORE2026,仅CORE收录,
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,ECML-PKDD,B,,数据库/数据挖掘/内容检索,CCF2026,仅CCF收录,
European Conference on Modelling Foundations and Applications,ECMFA,,B,,CORE2026,仅CORE收录,
European Conference on Multi-Agent Systems,EUMAS,,C,,CORE2026,仅CORE收录,
European Conference on Object-Oriented Programming,ECOOP,B,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
European Conference on Operations Research,EURO,,C,,CORE2026,仅CORE收录,
European Conference on Parallel and Distributed Computing Springer,Euro-Par,B,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
European Conference on Pattern Languages of Programs,EuroPLop,,National: Germany,,CORE2026,仅CORE收录,
European Conference on Software Architecture,ECSA,,B,,CORE2026,仅CORE收录,
European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU,,C,,CORE2026,仅CORE收录,
European Conference on Technology Enhanced Learning,EC-TEL,,B,,CORE2026,仅CORE收录,
European Dependable Computing Conference,EDCC,,Unranked,,CORE2026,仅CORE收录,
European Joint Conferences on Theory and Practice of Software,ETAPS,B,,软件工程/系统软件/程序设计语言,CCF2026,仅CCF收录,
European MPI Users' Group Conference,EuroMPI,,C,,CORE2026,仅CORE收录,
European SPI,EuroSPI,,B,,CORE2026,仅CORE收录,
European Symposium on Algorithms,ESA,B,A,计算机科学理论,CCF2026|CORE2026,标题精确匹配,
European Symposium on Artificial Neural Networks,ESANN,,B,,CORE2026,仅CORE收录,
European Symposium on Programming,ESOP,,A,,CORE2026,仅CORE收录,
European Symposium on Research in Computer Security,ESORICS,B,A,网络与信息安全,CCF2026|CORE2026,标题精确匹配,
European Workshop on Computational Geometry,EuroCG,,C,,CORE2026,仅CORE收录,
European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,,C,,CORE2026,仅CORE收录,
Exploring Modelling Methods in Systems Analysis and Design,EMMSAD,,C,,CORE2026,仅CORE收录,
Extended Semantic Web Conference,ESWC,C,B,数据库/数据挖掘/内容检索,CCF2026|CORE2026,简称唯一匹配,Extended Semantic Web Conference (was European Semantic Web Conference)
Eye Tracking Research and Applications,ETRA,,B,,CORE2026,仅CORE收录,
Fast Software Encryption,FSE,B,,网络与信息安全,CCF2026,仅CCF收录,
Financial Cryptography and Data Security,FC,C,A,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,Financial Cryptography and Data Security Conference
Flexible Query-Answering Systems,FQAS,,C,,CORE2026,仅CORE收录,
Florida Artificial Intelligence Research Society Conference,FlAIRS,,National: USA,,CORE2026,仅CORE收录,
Formal Methods in Computer-Aided Design,FMCAD,B,B,计算机科学理论,CCF2026|CORE2026,标题精确匹配,
Forum on Specification and Design Languages,FDL,,C,,CORE2026,仅CORE收录,
Foundations of Genetic Algorithms,FOGA,,A,,CORE2026,仅CORE收录,
Foundations of Software Science and Computational Structures,FOSSACS,,B,,CORE2026,仅CORE收录,
Foundations of Software Technology and Theoretical Computer Science,FSTTCS,C,National: India,计算机科学理论,CCF2026|CORE2026,标题精确匹配,
Frontiers in Education,FIE,,C,,CORE2026,仅CORE收录,
Fundamental Approaches to Software Engineering,FASE,,B,,CORE2026,仅CORE收录,
Genetic and Evolutionary Computation Conference,GECCO,C,A,人工智能,CCF2026|CORE2026,简称唯一匹配,Genetic and Evolutionary Computations
Geometric Modeling and Processing,GMP,C,C,计算机图形学与多媒体,CCF2026|CORE2026,简称唯一匹配,Geometry Modeling and Processing
German Conference on Artificial Intelligence,KI,,National/Regional,,CORE2026,仅CORE收录,
Graph Drawing,GD,,A,,CORE2026,仅CORE收录,
Graphics Interface,GI,C,B,人机交互与普适计算,CCF2026|CORE2026,标题精确匹配,
Great Lakes Symposium on VLSI,GLSVLSI,C,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
Haskell Workshop,HASKELL,,C,,CORE2026,仅CORE收录,
HCist - International Conference on Health and Social Care Information Systems and Technologies,HCist,,Unranked,,CORE2026,仅CORE收录,
Health Informatics Conference,HIC,,Australasian C,,CORE2026,仅CORE收录,
Heterogeneity in Computing Workshop,HCW,,C,,CORE2026,仅CORE收录,
Hot Chips: A Symposium on High Performance Chips,HOT CHIPS,B,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
HotStorage,HotStorage,C,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
Human System Interaction,HSI,,C,,CORE2026,仅CORE收录,
Human-Agent Interaction,HAI,,B,,CORE2026,仅CORE收录,
IADIS International Conference Applied Computing,IADIS AC,,C,,CORE2026,仅CORE收录,
Iberian Conference on Pattern Recognition and Image Analysis,IBPRIA,,National/Regional,,CORE2026,仅CORE收录,
IberoAmerican Congress on Pattern Recognition,CIARP,,C,,CORE2026,仅CORE收录,
"ICT in Education, Research, and Industrial Applications",ICTERI,,National: Ukraine,,CORE2026,仅CORE收录,
IEEE Annual Symposium on Foundations of Computer Science,FOCS,A,A*,计算机科学理论,CCF2026|CORE2026,简称唯一匹配,IEEE Symposium on Foundations of Computer Science
IEEE Asian Test Symposium,ATS,C,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
IEEE Bioinformatics and Bioengineering,BIBE,,C,,CORE2026,仅CORE收录,
IEEE Computer Security Foundations Symposium (was CSFW),CSF,,A,,CORE2026,仅CORE收录,
IEEE Computer Security Foundations Workshop,CSFW,B,,网络与信息安全,CCF2026,仅CCF收录,
IEEE Conference of the Open Innovations Association FRUCT,FRUCT,,Regional,,CORE2026,仅CORE收录,
IEEE Conference on Cognitive and Computational Aspects of Situation Management,CogSIMA,,National:USA,,CORE2026,仅CORE收录,
IEEE Conference on Local Computer Networks,LCN,C,B,计算机网络,CCF2026|CORE2026,标题精确匹配,
IEEE Conference on Virtual Reality and 3D User Interfaces （原 IEEE Virtual Reality）,VR,A,A*,计算机图形学与多媒体,CCF2026|CORE2026,简称唯一匹配,IEEE Conference on Virtual Reality and 3D User Interfaces
IEEE Congress on Evolutionary Computation,CEC,,B,,CORE2026,仅CORE收录,
IEEE Congress on Services,SERVICES,,B,,CORE2026,仅CORE收录,
IEEE Consumer Communications and Networking Conference,IEEE CCNC,,B,,CORE2026,仅CORE收录,
IEEE European Symposium on Security and Privacy,EuroS&P,C,A,网络与信息安全,CCF2026|CORE2026,标题精确匹配,
IEEE European Test Symposium,ETS,C,B,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,标题精确匹配,
IEEE Global Communications Conference,GLOBECOM,C,B,计算机网络,CCF2026|CORE2026,简称唯一匹配,IEEE Global Telecommunications Conference
IEEE Global Engineering Education Conference,EDUCON,,C,,CORE2026,仅CORE收录,
IEEE Global Internet Symposium,GI,,C,,CORE2026,仅CORE收录,
IEEE Industrial Electronics Society,IECON,,C,,CORE2026,仅CORE收录,
IEEE Industry Applications Society Annual Conference,IAS,,National: USA,,CORE2026,仅CORE收录,
"IEEE International Conference on Acoustics, Speech and Signal Processing",ICASSP,B,Multiconference,计算机图形学与多媒体,CCF2026|CORE2026,标题精确匹配,
IEEE International Conference on Advanced Learning Technologies,ICALT,,B,,CORE2026,仅CORE收录,
IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,,B,,CORE2026,仅CORE收录,
"IEEE International Conference on Application-Specific Systems, Architectures, and Processors",ASAP,C,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
IEEE International Conference on Automatic Face and Gesture Recognition,FG,C,B,人工智能,CCF2026|CORE2026,标题精确匹配,
IEEE International Conference on Big Data,IEEE BigData,C,B,交叉/综合/新兴,CCF2026|CORE2026,标题精确匹配,
IEEE International Conference on Bioinformatics and Biomedicine,BIBM,B,,交叉/综合/新兴,CCF2026,仅CCF收录,
IEEE International Conference on Blockchain and Cryptocurrency,ICBC,,C,,CORE2026,仅CORE收录,
IEEE International Conference on Cloud Computing,IEEE CLOUD,C,B,交叉/综合/新兴,CCF2026|CORE2026,标题精确匹配,
IEEE International Conference on Cloud Computing in Emerging Markets,CCEM,,National:India,,CORE2026,仅CORE收录,
IEEE International Conference on Cloud Computing Technology and Science (International Conference on Cloud Computing pre 2010),CloudCom,,C,,CORE2026,仅CORE收录,
IEEE International Conference on Cluster Computing,CLUSTER,B,C,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,标题精确匹配,
IEEE International Conference on Cognitive Informatics,ICCI,,C,,CORE2026,仅CORE收录,
IEEE International Conference on Communications,ICC,C,,计算机网络,CCF2026,仅CCF收录,
IEEE International Conference on Computational Photography,ICCP,,B,,CORE2026,仅CORE收录,
IEEE International Conference on Computer and Information Technology,CIT,,C,,CORE2026,仅CORE收录,
IEEE International Conference on Computer Communications,INFOCOM,A,A*,计算机网络,CCF2026|CORE2026,标题精确匹配,
IEEE International Conference on Computer Communications and Networks,ICCCN,C,B,计算机网络,CCF2026|CORE2026,简称唯一匹配,International Conference on Computer Communication and Networks
IEEE International Conference on Content-Based Multimedia Indexing,CBMI,,C,,CORE2026,仅CORE收录,
IEEE International Conference on Cybernetics and Intelligent Systems,CIS,,C,,CORE2026,仅CORE收录,
IEEE International Conference on Data Engineering,ICDE,A,A*,数据库/数据挖掘/内容检索,CCF2026|CORE2026,简称唯一匹配,International Conference on Data Engineering
IEEE International Conference on Data Mining,ICDM,B,A*,数据库/数据挖掘/内容检索,CCF2026|CORE2026,标题精确匹配,
IEEE International Conference on Data Science and Advanced Analytics,DSAA,C,B,计算机科学理论,CCF2026|CORE2026,标题精确匹配,
IEEE International Conference on Data Science and Engineering,ICDSE,,National:India,,CORE2026,仅CORE收录,
IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,,B,,CORE2026,仅CORE收录,
IEEE International Conference on Distributed Computing Systems,ICDCS,B,A,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,International Conference on Distributed Computing Systems
IEEE International Conference on e-Science and Grid Computing,e-Science,,B,,CORE2026,仅CORE收录,
IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006),HealthCom,,C,,CORE2026,仅CORE收录,
IEEE International Conference on Emerging Technologies and Factory Automation,ETFA,,C,,CORE2026,仅CORE收录,
IEEE International Conference on Fog and Edge Computing,ICFEC,,C,,CORE2026,仅CORE收录,
IEEE International Conference on Fuzzy Systems,FUZZ-IEEE,,B,,CORE2026,仅CORE收录,
IEEE International Conference on Global Software Engineering,ICGSE,,C,,CORE2026,仅CORE收录,
IEEE International Conference on High Performance Computing and Communications,HPCC,C,C,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,标题精确匹配,
"IEEE International Conference on High Performance Computing, Data and Analytics",HiPC,C,National: India,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,International Conference on High Performance Computing
IEEE International Conference on Image Processing,ICIP,C,B,计算机图形学与多媒体,CCF2026|CORE2026,标题精确匹配,
IEEE International Conference on Industrial Informatics,INDIN,,C,,CORE2026,仅CORE收录,
IEEE International Conference on Information Reuse and Integration,IRI,,National: USA,,CORE2026,仅CORE收录,
IEEE International Conference on Intelligence and Security Informatics,ISI,,C,,CORE2026,仅CORE收录,
IEEE International Conference on Intelligent Computer Communication and Processing,ICCP,,National: Romania,,CORE2026,仅CORE收录,
IEEE International Conference on Intelligent Systems,IEEE IS,,C,,CORE2026,仅CORE收录,
IEEE International Conference on Mobile Adhoc and Sensor Systems,MASS,C,B,计算机网络,CCF2026|CORE2026,简称唯一匹配,IEEE International Conference on Mobile Ad-hoc and Sensor Systems
IEEE International Conference on Multimedia & Expo,ICME,B,A,计算机图形学与多媒体,CCF2026|CORE2026,标题精确匹配,IEEE International Conference on Multimedia and Expo
IEEE International Conference on Network Protocols,ICNP,B,B,计算机网络,CCF2026|CORE2026,简称唯一匹配,International Conference on Network Protocols
IEEE International Conference on Peer-to-Peer Computing,P2P,C,,计算机网络,CCF2026,仅CCF收录,
IEEE International Conference on Pervasive Computing and Communications,PERCOM,B,A*,人机交互与普适计算,CCF2026|CORE2026,标题精确匹配,
IEEE International Conference on Program Comprehension,ICPC,B,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)"
IEEE International Conference on Quantum Computing and Engineering,QCE,,National/Regional,,CORE2026,仅CORE收录,
IEEE International Conference on Robot and Human Interactive Communication,RO-MAN,,B,,CORE2026,仅CORE收录,
IEEE International Conference on Robotics and Automation,ICRA,B,A*,人工智能,CCF2026|CORE2026,标题精确匹配,
"IEEE International Conference on Sensing, Communication, and Networking",SECON,B,B,计算机网络,CCF2026|CORE2026,标题精确匹配,"IEEE International Conference on Sensing, Communication and Networking"
IEEE International Conference on Smart Computing,SmartComp,,B,,CORE2026,仅CORE收录,
"IEEE International Conference on Software Analysis, Evolution, and Reengineering",SANER,B,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,"IEEE International Conference on Software Analysis, Evolution and Reengineering"
IEEE International Conference on Software Services Engineering,SSE,C,,软件工程/系统软件/程序设计语言,CCF2026,仅CCF收录,
IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),IEEE SSE,,B,,CORE2026,仅CORE收录,
"IEEE International Conference on Software Testing, Verification and Validation",ICST,C,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,"International Conference on Software Testing, Verification and Validation"
"IEEE International Conference on Systems, Man, and Cybernetics",SMC,C,B,交叉/综合/新兴,CCF2026|CORE2026,简称唯一匹配,"IEEE Conference on Systems, Man and Cybernetics"
IEEE International Conference on Tools with Artificial Intelligence,ICTAI,C,B,人工智能,CCF2026|CORE2026,简称唯一匹配,International Conference on Tools with Artificial Intelligence
"IEEE International Conference on Trust, Security and Privacy in Computing and Communications",TrustCom,C,B,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,"International Conference on Trust, Security and Privacy in Computing and Communications"
IEEE International Conference on Ubiquitous Intelligence and Computing,UIC,C,C,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,International Conference on Ubiquitous Intelligence and Computing
IEEE International Conference on Visual Communications and Image Processing (was SPIE ... pre 2011),VCIP,,C,,CORE2026,仅CORE收录,
IEEE International Conference on Web Services,ICWS,B,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",WiMob,,B,,CORE2026,仅CORE收录,
IEEE International Enterprise Distributed Object Computing Conference,EDOC,,B,,CORE2026,仅CORE收录,
IEEE International Geoscience and Remote Sensing Symposium,IGARSS,,C,,CORE2026,仅CORE收录,
IEEE International Parallel & Distributed Processing Symposium,IPDPS,B,A,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP)
IEEE International Performance Computing and Communications Conference,IPCCC,C,C,计算机网络,CCF2026|CORE2026,标题精确匹配,
IEEE International Requirements Engineering Conference,RE,B,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
IEEE International Scientific Conference on Informatics,Informatics,,National:Slovakia,,CORE2026,仅CORE收录,
IEEE International Semantic Web Conference,ISWC,B,,数据库/数据挖掘/内容检索,CCF2026,仅CCF收录,
"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",WoWMoM,C,C,计算机网络,CCF2026|CORE2026,标题精确匹配,
IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning,IEEE ADPRL,,C,,CORE2026,仅CORE收录,
IEEE International Symposium on Artificial Life,IEEE Alife,,C,,CORE2026,仅CORE收录,
IEEE International Symposium on Circuits and Systems,ISCAS,B,C,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,标题精确匹配,
IEEE International Symposium on Computer-Based Medical Systems,CBMS,,B,,CORE2026,仅CORE收录,
IEEE International Symposium on High Performance Computer Architecture,HPCA,A,A*,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,International Symposium on High Performance Computer Architecture
IEEE International Symposium on Information Theory,ISIT,,B,,CORE2026,仅CORE收录,
IEEE International Symposium on Multimedia,ISM,,C,,CORE2026,仅CORE收录,
IEEE International Symposium on Network Computing and Applications,NCA,,B,,CORE2026,仅CORE收录,
IEEE International Symposium on Parallel and Distributed Processing with Applications,ISPA,C,C,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,标题精确匹配,
IEEE International Symposium on Performance Analysis of Systems and Software,ISPASS,C,B,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
IEEE International Symposium on Personal and Indoor Mobile Radio Conference,PIMRC,,B,,CORE2026,仅CORE收录,
IEEE International Symposium on Rapid System Prototyping (was IEEE Symposium on Rapid Prototyping),RSP,,C,,CORE2026,仅CORE收录,
IEEE International Symposium on Real-Time Distributed Computing,ISORC,,C,,CORE2026,仅CORE收录,
IEEE International Symposium on Reliable Distributed Systems,SRDS,B,B,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,Symposium on Reliable Distributed Systems
IEEE International Symposium on Software Reliability Engineering,ISSRE,B,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,International Symposium on Software Reliability Engineering
IEEE International Symposium on Wearable Computers,ISWC,,Journal Published,,CORE2026,仅CORE收录,
IEEE International Test Conference,ITC,,A,,CORE2026,仅CORE收录,
IEEE International Working Conference on Software Visualisation,VISSOFT,,B,,CORE2026,仅CORE收录,
IEEE International Working Conference on Source Code Analysis and Manipulation,SCAM,C,C,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
IEEE LAN/MAN Workshop,LANMAN,,C,,CORE2026,仅CORE收录,
IEEE Network Operations and Management Symposium,NOMS,,B,,CORE2026,仅CORE收录,
IEEE Pacific Visualization Symposium,PacificVis,C,B,计算机图形学与多媒体,CCF2026|CORE2026,简称唯一匹配,IEEE Pacific Visualization Symposium (was APVIS)
IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS,B,A,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,标题精确匹配,
IEEE Real-Time Systems Symposium,RTSS,A,A,交叉/综合/新兴,CCF2026|CORE2026,简称唯一匹配,Real Time Systems Symposium
IEEE Region 10 Conference,Tencon,,C,,CORE2026,仅CORE收录,
IEEE Software Engineering Workshop,SEW,,C,,CORE2026,仅CORE收录,
IEEE Swarm Intelligence Symposium,IEEE SIS,,C,,CORE2026,仅CORE收录,
IEEE Symposium on Computational Intelligence and Data Mining,CIDM,,C,,CORE2026,仅CORE收录,
IEEE Symposium on Computational Intelligence for Financial Engineering,IEEE CIFEr,,C,,CORE2026,仅CORE收录,
IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing,IEEE CIMSIVP,,C,,CORE2026,仅CORE收录,
IEEE Symposium on Computational Intelligence for Security and Defence Applications,IEEE CISDA,,C,,CORE2026,仅CORE收录,
IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,CIBCB,,C,,CORE2026,仅CORE收录,
IEEE Symposium on Computational Intelligence in Control and Automation,IEEE CICA,,C,,CORE2026,仅CORE收录,
IEEE Symposium on Computational Intelligence in Cyber Security,IEEE CICS,,C,,CORE2026,仅CORE收录,
IEEE Symposium on Computer Arithmetic,ARITH,,C,,CORE2026,仅CORE收录,
IEEE Symposium on Computers and Communications,ISCC,C,C,计算机网络,CCF2026|CORE2026,标题精确匹配,
IEEE Symposium on Field-Programmable Custom Computing Machines,FCCM,C,National/Regional,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,标题精确匹配,IEEE Symposium on Field Programmable Custom Computing Machines
IEEE Symposium on High-Performance Interconnects,HOTI,C,National: USA,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,标题精确匹配,
IEEE Symposium on Security and Privacy,S&P,A,A*,网络与信息安全,CCF2026|CORE2026,标题精确匹配,
IEEE Symposium on Visual Languages and Human-Centric Computing (was VL),VL/HCC,,B,,CORE2026,仅CORE收录,
IEEE Vehicular Technology Conference,VTC,,B,,CORE2026,仅CORE收录,
IEEE Visualization Conference,IEEE VIS,A,A,计算机图形学与多媒体,CCF2026|CORE2026,简称唯一匹配,IEEE Visualization
IEEE VLSI Test Symposium,VTS,C,National/Regional,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,标题精确匹配,
IEEE Wireless Communications and Networking Conference,WCNC,C,B,计算机网络,CCF2026|CORE2026,标题精确匹配,
IEEE Workshop on Applications of Computer Vision,WACV,,A,,CORE2026,仅CORE收录,
IEEE Workshop on High Performance Switching and Routing,HPSR,,C,,CORE2026,仅CORE收录,
IEEE World Haptics Conference,,C,,人机交互与普适计算,CCF2026,仅CCF收录,
IEEE/ACIS International Conference on Computer and Information Science,ICIS,,C,,CORE2026,仅CORE收录,
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,,B,,CORE2026,仅CORE收录,
"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",BDCAT,,C,,CORE2026,仅CORE收录,
"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",CCGRID,C,B,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,"IEEE International Symposium on Cluster, Cloud and Grid Computing"
IEEE/ACM International Symposium on Microarchitecture,MICRO,A,A*,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,International Symposium on Microarchitecture
IEEE/ACM International Workshop on Quality of Service,IWQoS,B,B,计算机网络,CCF2026|CORE2026,简称唯一匹配,IEEE International Workshop on Quality of Service
IEEE/CVF Computer Vision and Pattern Recognition Conference,CVPR,A,A*,人工智能,CCF2026|CORE2026,简称唯一匹配,IEEE Conference on Computer Vision and Pattern Recognition
IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,EUC,,C,,CORE2026,仅CORE收录,
IEEE/IFIP International Conference on Very Large Scale Integration of System-on-Chip,VLSI-SOC,,C,,CORE2026,仅CORE收录,
IEEE/WIC/ACM International Conference on Web Intelligence (previously joint with Intelligent Agent Technology WI-IAT),WI,,B,,CORE2026,仅CORE收录,
IEEE\RSJ International Conference on Intelligent Robots and Systems,IROS,C,A,人工智能,CCF2026|CORE2026,标题精确匹配,IEEE/RSJ International Conference on Intelligent Robots and Systems
IFAC Conference on System Structure and Control,SSSC,,C,,CORE2026,仅CORE收录,
"IFAC Symposium on Fault Detection, Supervision and Safety of Technical Processes",SAFEProcess,,C,,CORE2026,仅CORE收录,
IFIP Information Security & Privacy Conference,IFIP SEC,,B,,CORE2026,仅CORE收录,
IFIP International Conference on Distributed Applications and Interoperable Systems,DAIS,,C,,CORE2026,仅CORE收录,
IFIP International Conference on Network and Parallel Computing,NPC,C,C,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,标题精确匹配,
IFIP International Conferences on Networking,Networking,C,B,计算机网络,CCF2026|CORE2026,简称唯一匹配,IFIP International Conference on Networking
IFIP International Information Security Conference,SEC,C,,网络与信息安全,CCF2026,仅CCF收录,
IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC),DBSEC,,B,,CORE2026,仅CORE收录,
IFIP WG8.1 Working Conference on the Practice of Enterprise Modeling,PoEM,,unranked: not primarily CS,,CORE2026,仅CORE收录,
IFIP Working Conferences on Virtual Enterprises,PRO-VE,,C,,CORE2026,仅CORE收录,
IFIP Working Group 11.9 International Conference on Digital Forensics,IFIP WG 11.9,C,,网络与信息安全,CCF2026,仅CCF收录,
IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks,PEMWN,,C,,CORE2026,仅CORE收录,
IFIP/IEEE International Symposium on Integrated Network Management,IM,C,B,计算机网络,CCF2026|CORE2026,简称唯一匹配,IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS)
IFSA World Congress,IFSA,,C,,CORE2026,仅CORE收录,
IMA International Conference on Cryptography and Coding,IMACC,,C,,CORE2026,仅CORE收录,
Image and Vision Computing Conference,IVCNZ,,Australasian C,,CORE2026,仅CORE收录,
Indian Conference on Human-Computer Interaction,IndiaHCI,,National: India,,CORE2026,仅CORE收录,
Industrial Simulation Conference,ISC,,C,,CORE2026,仅CORE收录,
Information Integration and Web-based Applications and Services,IIWAS,,C,,CORE2026,仅CORE收录,
Information Security Conference,ISC,C,C,网络与信息安全,CCF2026|CORE2026,标题精确匹配,
Information Security Practice and Experience Conference,ISPEC,,C,,CORE2026,仅CORE收录,
Information Security Symposium,CERIAS,,National: USA,,CORE2026,仅CORE收录,
Information Theory Workshop,ITW,,B,,CORE2026,仅CORE收录,
Information Visualisation Theory and Practice,InfVis,,C,,CORE2026,仅CORE收录,
Information Visualization in Biomedical Informatics,IVBI,,C,,CORE2026,仅CORE收录,
Informing Science and Information Technology Education,InSITE,,C,,CORE2026,仅CORE收录,
Innovations in Theoretical Computer Science,ITCS,,A,,CORE2026,仅CORE收录,
Innovative Applications in AI,IAAI,,C,,CORE2026,仅CORE收录,
Int. Workshop on Formal Methods for Industrial Critical Systems,FMICS,,C,,CORE2026,仅CORE收录,
Integrated Formal Methods,IFM,,B,,CORE2026,仅CORE收录,
Intelligent Data Analysis,IDA,,B,,CORE2026,仅CORE收录,
Intelligent Distributed Computing,IDC,,Unranked,,CORE2026,仅CORE收录,
Intelligent Vehicles Conference,IEEE-IV,,B,,CORE2026,仅CORE收录,
Intelligent Virtual Agents,IVA,,B,,CORE2026,仅CORE收录,
Intenational Environmental Modelling and Software Society,iEMSs,,C,,CORE2026,仅CORE收录,
Interaction Design and Children (ACM),IDC,,B,,CORE2026,仅CORE收录,
Interactive Entertainment,IE,,Australasian C,,CORE2026,仅CORE收录,
International ACM Conference on Automotive User Interfaces and Interactive Vehicular Applications,Automotive_UI,,B,,CORE2026,仅CORE收录,
International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,C,A,人机交互与普适计算,CCF2026|CORE2026,标题精确匹配,
International ACM SIGIR Conference on Research and Development in Information Retrieval,SIGIR,A,A*,数据库/数据挖掘/内容检索,CCF2026|CORE2026,简称唯一匹配,ACM International Conference on Research and Development in Information Retrieval
International Baltic Conference on Databases and Information Systems,DB&IS,,Regional - Baltic,,CORE2026,仅CORE收录,
"International Colloquium on Automata, Languages and Programming",ICALP,B,A*,计算机科学理论,CCF2026|CORE2026,标题精确匹配,International Colloquium on Automata Languages and Programming
International Colloquium on Structural Information and Communication Complexity,SIROCCO,,B,,CORE2026,仅CORE收录,
International Colloquium on Theoretical Aspects of Computing,ICTAC,C,C,计算机科学理论,CCF2026|CORE2026,标题精确匹配,
International Computer Science Symposium in Russia,CSR,,National: Russia,,CORE2026,仅CORE收录,
International Computer Software and Applications Conference,COMPSAC,C,B,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
International Computing and Combinatorics Conference,COCOON,B,National:China,计算机科学理论,CCF2026|CORE2026,简称唯一匹配,International Conference on Computing and Combinatorics
International Computing Education Research Workshop,ICER,,A,,CORE2026,仅CORE收录,
"International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z (Previously International Conference of B and Z Users, ZB, changed in 2008)",ABZ,,C,,CORE2026,仅CORE收录,
International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region,HPC Asia,,C,,CORE2026,仅CORE收录,
